[07-Jul-2016 11:28:53 PRC] PHP Fatal error:  Call to undefined method app\models\Keywords::all() in E:\MyWorkSpaces\scanner\backend\controllers\ScanController.php on line 39
[07-Jul-2016 11:29:40 PRC] PHP Fatal error:  Class 'extensions\WordSeparator' not found in E:\MyWorkSpaces\scanner\backend\controllers\ScanController.php on line 44
[07-Jul-2016 11:29:59 PRC] PHP Fatal error:  Class 'app\extensions\WordSeparator' not found in E:\MyWorkSpaces\scanner\backend\controllers\ScanController.php on line 44
[07-Jul-2016 11:30:08 PRC] PHP Fatal error:  Class 'app\extensions\WordSeparator' not found in E:\MyWorkSpaces\scanner\backend\controllers\ScanController.php on line 44
[07-Jul-2016 11:30:20 PRC] PHP Fatal error:  Class 'app\extensions\WordSeparator' not found in E:\MyWorkSpaces\scanner\backend\controllers\ScanController.php on line 44
[07-Jul-2016 11:30:41 PRC] PHP Fatal error:  Class 'backend\extensions\WordSeparator' not found in E:\MyWorkSpaces\scanner\backend\controllers\ScanController.php on line 44
[07-Jul-2016 11:31:19 PRC] PHP Fatal error:  Class 'app\models\WordSeparator' not found in E:\MyWorkSpaces\scanner\backend\controllers\ScanController.php on line 44
[07-Jul-2016 11:31:54 PRC] PHP Fatal error:  Class 'app\models\WordSeparator' not found in E:\MyWorkSpaces\scanner\backend\controllers\ScanController.php on line 44
[07-Jul-2016 11:31:55 PRC] PHP Fatal error:  Class 'app\models\WordSeparator' not found in E:\MyWorkSpaces\scanner\backend\controllers\ScanController.php on line 44
[07-Jul-2016 11:32:35 PRC] PHP Fatal error:  Class 'backend\extensions\WordSeparator' not found in E:\MyWorkSpaces\scanner\backend\controllers\ScanController.php on line 44
[07-Jul-2016 11:37:52 PRC] PHP Fatal error:  Class 'backend\extensions\WordSeparator' not found in E:\MyWorkSpaces\scanner\backend\controllers\ScanController.php on line 44
[07-Jul-2016 11:37:53 PRC] PHP Fatal error:  Class 'backend\extensions\WordSeparator' not found in E:\MyWorkSpaces\scanner\backend\controllers\ScanController.php on line 44
[07-Jul-2016 11:38:41 PRC] PHP Fatal error:  Class 'backend\extensions\WordSeparator' not found in E:\MyWorkSpaces\scanner\backend\controllers\ScanController.php on line 44
[07-Jul-2016 11:38:57 PRC] PHP Fatal error:  Class 'app\models\WordSeparator' not found in E:\MyWorkSpaces\scanner\backend\controllers\ScanController.php on line 44
[07-Jul-2016 11:39:17 PRC] PHP Fatal error:  Cannot use app\models\WordSeparator as WordSeparator because the name is already in use in E:\MyWorkSpaces\scanner\backend\controllers\ScanController.php on line 12
[07-Jul-2016 11:39:30 PRC] PHP Fatal error:  Class 'app\models\WordSeparator' not found in E:\MyWorkSpaces\scanner\backend\controllers\ScanController.php on line 44
[07-Jul-2016 11:39:57 PRC] PHP Fatal error:  Class 'app\models\WordSeparator' not found in E:\MyWorkSpaces\scanner\backend\controllers\ScanController.php on line 44
[07-Jul-2016 11:59:47 PRC] PHP Parse error:  syntax error, unexpected 'foreach' (T_FOREACH) in E:\MyWorkSpaces\scanner\backend\controllers\ScanController.php on line 50
[07-Jul-2016 16:08:11 PRC] PHP Notice:  Trying to get property of non-object in E:\MyWorkSpaces\scanner\backend\views\layouts\header.php on line 233
[07-Jul-2016 16:08:11 PRC] PHP Notice:  Trying to get property of non-object in E:\MyWorkSpaces\scanner\backend\views\layouts\header.php on line 242
[07-Jul-2016 16:08:11 PRC] PHP Notice:  Trying to get property of non-object in E:\MyWorkSpaces\scanner\backend\views\layouts\left.php on line 11
[07-Jul-2016 17:53:15 PRC] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 9 bytes) in E:\MyWorkSpaces\scanner\backend\extensions\WordSeparator.php on line 174
